session,frame,grid,variant,orientation,matched,mismatched,partner
20241219_044529,20241219_044529_000037,4,full,0,-0.2413611307505351,-0.20508523707554402,20241219_044529_000054
20241219_044529,20241219_044529_000038,4,full,0,0.11982508472744334,0.07154340002514618,20241219_044529_000015
20241219_044529,20241219_044529_000039,4,full,0,-0.216912872823836,-0.222456236966274,20241219_044529_000036
20241219_044529,20241219_044529_000040,4,full,0,0.005228952202931107,0.03808033578988828,20241219_044529_000020
20241219_044529,20241219_044529_000041,4,full,0,-0.0994507367891914,-0.11953427892922235,20241219_044529_000024
20241219_044529,20241219_044529_000042,4,full,0,0.09531382437619283,0.09633629346336597,20241219_044529_000048
20241219_044529,20241219_044529_000043,4,full,0,0.36014133525704994,0.3529524414480052,20241219_044529_000005
20241219_044529,20241219_044529_000044,4,full,0,0.1938611928045408,0.1955221521545537,20241219_044529_000028
20241219_044529,20241219_044529_000045,4,full,0,0.21264472554221792,0.16901211851888362,20241219_044529_000055
20241219_044529,20241219_044529_000046,4,full,0,-0.06274782237667897,-0.05674328201304309,20241219_044529_000037
20241219_044529,20241219_044529_000047,4,full,0,0.22801367586038454,0.19830814789536352,20241219_044529_000052
20241219_044529,20241219_044529_000048,4,full,0,-0.08731022162351852,-0.05808454016124578,20241219_044529_000038
20241219_044529,20241219_044529_000049,4,full,0,-0.14103055984044507,-0.2428615965193001,20241219_044529_000013
20241219_044529,20241219_044529_000050,4,full,0,-0.06409982935381742,0.022889021407216072,20241219_044529_000034
20241219_044529,20241219_044529_000051,4,full,0,0.12678743601815554,0.20546489435330131,20241219_044529_000021
20241219_044529,20241219_044529_000052,4,full,0,0.13072678028657633,0.11357886896884846,20241219_044529_000062
20241219_044529,20241219_044529_000053,4,full,0,-0.05480435587598246,0.017318592722574837,20241219_044529_000007
20241219_044529,20241219_044529_000054,4,full,0,-0.20552542180318648,-0.3197978802722226,20241219_044529_000045
20241219_044529,20241219_044529_000055,4,full,0,-0.07223846209718361,-0.05074869844562747,20241219_044529_000018
20241219_044529,20241219_044529_000056,4,full,0,-0.3204755801363723,-0.3160348833392825,20241219_044529_000035
20241219_044529,20241219_044529_000057,4,full,0,0.01168030283790799,0.03896280061441248,20241219_044529_000019
20241219_044529,20241219_044529_000058,4,full,0,0.12158810959765466,0.13476023292435155,20241219_044529_000006
20241219_044529,20241219_044529_000059,4,full,0,0.05180248821915393,0.026869608242004336,20241219_044529_000031
20241219_044529,20241219_044529_000060,4,full,0,0.312286138242456,0.36266655736151354,20241219_044529_000059
20241219_044529,20241219_044529_000061,4,full,0,0.08296803914826807,0.016002647634708416,20241219_044529_000032
20241219_044529,20241219_044529_000062,4,full,0,0.2660672851431403,0.2211053961774567,20241219_044529_000056
20241219_044529,20241219_044529_000063,4,full,0,0.1667330805442232,0.153447327716129,20241219_044529_000040
20241219_050046,20241219_050046_000000,4,full,0,-0.23586189448054104,-0.3595746612871122,20241219_050046_000033
20241219_050046,20241219_050046_000001,4,full,0,0.1950581416897401,0.2704952382924507,20241219_050046_000042
20241219_050046,20241219_050046_000002,4,full,0,-0.31342025915302335,-0.37299038596380396,20241219_050046_000008
20241219_050046,20241219_050046_000003,4,full,0,-0.31664203615739106,-0.33924221764903956,20241219_050046_000030
20241219_050046,20241219_050046_000004,4,full,0,0.0897453595507924,0.08698585710602152,20241219_050046_000044
20241219_050046,20241219_050046_000005,4,full,0,-0.19374487770278467,-0.16122244919925713,20241219_050046_000059
20241219_050046,20241219_050046_000006,4,full,0,0.039750990405321124,0.060719313303604305,20241219_050046_000049
20241219_050046,20241219_050046_000007,4,full,0,-0.06396990256109154,-0.11241577523314594,20241219_050046_000029
20241219_050046,20241219_050046_000008,4,full,0,-0.0278913744915044,-0.0742994412655986,20241219_050046_000050
20241219_050046,20241219_050046_000009,4,full,0,0.0638076387339117,0.04488894988668054,20241219_050046_000043
20241219_050046,20241219_050046_000010,4,full,0,0.015122037902670355,0.00918237321157484,20241219_050046_000039
20241219_050046,20241219_050046_000011,4,full,0,0.020270698330651756,0.0304514665210986,20241219_050046_000020
20241219_050046,20241219_050046_000012,4,full,0,0.08581574440711963,0.1770321992612495,20241219_050046_000018
