timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/07 23:20:01.209, 27953 MiB, 81920 MiB, 17 %, 134.80 W, 46
2026/09/07 23:20:31.211, 27953 MiB, 81920 MiB, 76 %, 91.35 W, 44
2026/09/07 23:21:01.213, 27953 MiB, 81920 MiB, 77 %, 188.71 W, 47
2026/09/07 23:21:31.215, 27953 MiB, 81920 MiB, 0 %, 89.93 W, 43
2026/09/07 23:22:01.216, 27953 MiB, 81920 MiB, 13 %, 92.82 W, 43
2026/09/07 23:22:31.217, 27953 MiB, 81920 MiB, 0 %, 89.66 W, 42
2026/09/07 23:23:01.218, 27953 MiB, 81920 MiB, 0 %, 92.59 W, 43
2026/09/07 23:23:31.220, 27953 MiB, 81920 MiB, 31 %, 134.21 W, 46
2026/09/07 23:24:01.221, 27953 MiB, 81920 MiB, 2 %, 90.44 W, 45
2026/09/07 23:24:31.223, 27953 MiB, 81920 MiB, 70 %, 269.34 W, 48
2026/09/07 23:25:01.224, 27953 MiB, 81920 MiB, 80 %, 303.61 W, 46
2026/09/07 23:25:31.225, 27953 MiB, 81920 MiB, 73 %, 296.55 W, 49
2026/09/07 23:26:01.226, 27953 MiB, 81920 MiB, 97 %, 294.50 W, 49
2026/09/07 23:26:31.227, 27953 MiB, 81920 MiB, 92 %, 112.79 W, 44
2026/09/07 23:27:01.228, 27953 MiB, 81920 MiB, 41 %, 165.79 W, 46
2026/09/07 23:27:31.229, 27953 MiB, 81920 MiB, 2 %, 89.85 W, 42
2026/09/07 23:28:01.231, 27953 MiB, 81920 MiB, 75 %, 261.03 W, 49
2026/09/07 23:28:31.232, 27953 MiB, 81920 MiB, 0 %, 90.35 W, 43
2026/09/07 23:29:01.233, 27953 MiB, 81920 MiB, 97 %, 349.65 W, 50
2026/09/07 23:29:31.235, 27953 MiB, 81920 MiB, 31 %, 79.27 W, 42
2026/09/07 23:30:01.237, 27953 MiB, 81920 MiB, 71 %, 300.64 W, 51
2026/09/07 23:30:31.240, 27955 MiB, 81920 MiB, 0 %, 72.48 W, 42
2026/09/07 23:31:01.241, 27955 MiB, 81920 MiB, 0 %, 70.81 W, 38
2026/09/07 23:31:31.242, 27955 MiB, 81920 MiB, 0 %, 70.26 W, 37
2026/09/07 23:32:01.243, 27955 MiB, 81920 MiB, 91 %, 154.63 W, 44
2026/09/07 23:32:31.245, 27955 MiB, 81920 MiB, 69 %, 276.13 W, 43
2026/09/07 23:33:01.247, 27955 MiB, 81920 MiB, 36 %, 177.38 W, 43
2026/09/07 23:33:31.249, 27955 MiB, 81920 MiB, 74 %, 257.23 W, 47
2026/09/07 23:34:01.251, 27955 MiB, 81920 MiB, 43 %, 77.53 W, 41
2026/09/07 23:34:31.253, 27955 MiB, 81920 MiB, 0 %, 89.24 W, 42
2026/09/07 23:35:01.254, 27955 MiB, 81920 MiB, 62 %, 90.25 W, 42
2026/09/07 23:35:31.256, 27955 MiB, 81920 MiB, 25 %, 265.54 W, 46
2026/09/07 23:36:01.258, 27955 MiB, 81920 MiB, 21 %, 89.84 W, 42
2026/09/07 23:36:31.259, 27955 MiB, 81920 MiB, 0 %, 89.15 W, 42
2026/09/07 23:37:01.260, 27955 MiB, 81920 MiB, 0 %, 89.47 W, 42
2026/09/07 23:37:31.262, 27955 MiB, 81920 MiB, 83 %, 277.04 W, 49
2026/09/07 23:38:01.263, 27955 MiB, 81920 MiB, 99 %, 93.52 W, 45
2026/09/07 23:38:31.265, 27955 MiB, 81920 MiB, 41 %, 165.27 W, 45
2026/09/07 23:39:01.266, 27955 MiB, 81920 MiB, 58 %, 92.92 W, 43
2026/09/07 23:39:31.267, 27955 MiB, 81920 MiB, 16 %, 89.57 W, 42
